Repository,Stars,Created At,Open Issues,Total Pull Requests,Total Releases,Language,Closed Issues
HEU_KMS_Activator,36453,2019-06-23T00:49:35Z,157,0,48,,0
gym,36421,2016-04-27T14:59:16Z,128,0,19,Python,0
chatbox,36394,2023-03-06T12:22:15Z,882,0,47,TypeScript,0
ToolJet,36373,2021-03-30T08:51:34Z,899,0,322,JavaScript,0
MediaCrawler,36365,2023-06-09T12:14:34Z,100,0,0,Python,0
Umi-OCR,36330,2022-03-28T04:01:46Z,273,0,31,Python,0
google-research,36253,2018-10-04T18:42:48Z,1641,0,0,Jupyter Notebook,0
metasploit-framework,36238,2011-08-30T06:13:20Z,472,0,0,Ruby,0
nushell,36226,2019-05-10T16:59:42Z,1500,0,111,Rust,0
og-aws,36217,2016-07-13T17:30:16Z,159,0,0,Shell,0
crewAI,36189,2023-10-27T03:26:59Z,151,0,100,Python,1444
manifesto,36077,2023-08-13T16:17:24Z,20,1128,0,HTML,14
date-fns,36069,2014-10-06T10:24:22Z,846,1714,122,TypeScript,1367
compose,36053,2013-12-09T11:40:58Z,96,4846,263,Go,8046
shadowsocks-android,36050,2012-12-16T13:40:29Z,54,384,185,Kotlin,2457
lerna,36014,2015-12-04T09:36:55Z,406,1409,244,TypeScript,2277
Langchain-Chatchat,35968,2023-03-31T12:12:45Z,121,868,31,TypeScript,4083
DragGAN,35907,2023-05-18T10:08:02Z,153,32,0,Python,46
sheetjs,35881,2012-12-03T19:25:52Z,132,324,0,,2267
cobalt,35881,2022-07-08T18:12:55Z,185,437,0,Svelte,777
955.WLB,35863,2019-03-27T23:53:37Z,201,62,0,,82
puter,35822,2024-03-03T01:44:32Z,187,718,8,JavaScript,528
hello-algorithm,35753,2020-05-29T05:47:09Z,11,31,0,Java,33
desktop,35738,2024-03-28T00:05:55Z,429,681,116,C++,6586
typeorm,35726,2016-02-29T07:41:14Z,2488,3194,38,TypeScript,6059
carbon,35656,2017-06-16T02:50:28Z,72,836,215,JavaScript,0
koa,35608,2013-07-20T18:53:45Z,24,0,9,JavaScript,0
HanLP,35555,2014-10-09T06:36:16Z,12,0,62,Python,0
ai-agents-for-beginners,35533,2024-11-28T10:42:52Z,12,0,0,Jupyter Notebook,0
engineering-blogs,35513,2015-06-13T18:25:17Z,142,0,0,Ruby,0
fullPage.js,35464,2013-09-20T11:58:29Z,149,0,105,JavaScript,0
lottie-android,35461,2016-10-06T22:42:42Z,37,0,59,Java,0
REKCARC-TSC-UHT,35457,2019-04-05T03:31:23Z,2,0,0,HTML,0
mindsdb,35432,2018-08-02T17:56:45Z,124,0,312,Python,0
marked,35422,2011-07-24T13:15:51Z,13,0,157,TypeScript,0
awesome-react-native,35338,2015-03-26T19:58:06Z,98,0,0,JavaScript,0
spacedrive,35310,2021-09-27T05:09:04Z,125,0,26,TypeScript,0
nativefier,35289,2015-07-05T05:56:42Z,258,0,99,TypeScript,0
vim-plug,35179,2013-09-10T14:58:51Z,83,0,8,Vim Script,0
twenty,35162,2022-12-01T13:04:40Z,221,0,47,TypeScript,0
sqlmap,35144,2012-06-26T09:52:15Z,60,0,10,Python,0
pytorch-image-models,35127,2019-02-02T05:51:12Z,79,0,69,Python,0
polars,35093,2020-05-13T19:45:33Z,2799,0,226,Rust,0
awesome-shell,35076,2014-07-07T01:57:42Z,116,0,0,,0
hackathon-starter,35054,2013-11-13T17:24:12Z,11,668,17,JavaScript,671
the-way-to-go_ZH_CN,35018,2013-03-24T17:18:38Z,46,709,0,Go,0
glide,34945,2013-07-08T22:52:33Z,601,1021,47,Java,3920
NewPipe,34909,2015-09-03T23:39:26Z,1251,2257,137,Java,8414
LocalAI,34904,2023-03-18T22:58:02Z,387,4717,83,Go,726
cursor-free-vip,34880,2025-01-11T08:14:22Z,568,111,69,Python,473
Coursera-ML-AndrewNg-Notes,34862,2017-11-04T10:04:08Z,67,37,0,HTML,15
leetcode,34844,2018-09-16T14:03:03Z,0,4353,21,Java,56
AgentGPT,34819,2023-04-07T02:29:19Z,211,1073,12,TypeScript,337
ghostty,34816,2022-03-29T17:38:26Z,188,2980,1,Zig,1643
outline,34799,2016-05-22T21:31:47Z,104,3926,147,TypeScript,3415
bubbletea,34756,2020-01-10T21:04:03Z,127,867,62,Go,295
awesome-javascript,34521,2014-07-01T15:59:02Z,21,824,0,,88
caffe,34510,2013-09-12T18:39:48Z,1177,2231,14,C++,3901
supervision,34443,2022-11-28T14:08:44Z,129,1192,33,Python,415
fastify,34438,2016-09-28T19:10:14Z,123,0,298,JavaScript,0
TaskMatrix,34399,2023-03-02T09:04:28Z,256,0,0,Python,0
RevokeMsgPatcher,34382,2019-07-21T15:12:52Z,44,0,21,C#,0
node-v0.x-archive,34380,2009-05-27T16:29:46Z,0,0,0,,0
netty,34379,2010-11-09T09:22:21Z,651,0,0,Java,0
jieba,34355,2012-09-29T07:52:01Z,689,0,9,Python,0
manim,34349,2020-05-19T02:37:13Z,453,0,29,Python,0
formik,34290,2017-06-14T19:50:59Z,829,0,196,TypeScript,0
LLM101n,34276,2024-05-27T00:23:38Z,19,0,0,,0
gold-miner,34247,2015-11-04T03:29:13Z,10,0,0,,0
portainer,34237,2016-05-19T20:15:28Z,797,0,163,TypeScript,0
HowToLiveLonger,34226,2022-04-16T04:15:18Z,38,0,0,,0
OpenVoice,34224,2023-11-29T12:17:01Z,272,0,0,Python,0
llvm-project,34187,2016-12-07T09:39:33Z,31666,0,137,LLVM,0
clipboard.js,34159,2015-09-18T23:04:55Z,12,0,42,JavaScript,0
solid,34135,2018-04-24T16:36:27Z,122,0,35,TypeScript,0
linux-command,34062,2016-11-12T15:44:26Z,82,0,31,Markdown,0
anoma,34062,2021-02-02T10:00:16Z,186,0,12,Elixir,0
12306,34048,2017-05-17T12:23:40Z,281,0,1,Python,0
husky,34045,2014-06-23T12:14:21Z,95,0,80,JavaScript,0
react-beautiful-dnd,34033,2017-08-09T03:37:15Z,644,977,68,JavaScript,1045
framework,34015,2013-01-10T21:27:28Z,83,32528,859,PHP,18836
poetry,33883,2018-02-28T15:23:47Z,580,3184,142,Python,5717
spring-boot-demo,33861,2017-11-10T06:27:29Z,142,93,0,Java,73
Python,33810,2011-11-30T09:04:08Z,440,2301,0,Python,149
zsh-autosuggestions,33694,2013-10-26T16:09:37Z,187,221,0,Shell,458
awesome-deepseek-integration,33662,2024-01-11T02:43:17Z,143,353,0,,40
LeetCode-Go,33651,2017-07-18T00:06:14Z,20,206,4,Go,64
shadowsocks,33651,2012-04-20T13:10:49Z,450,161,2,Python,0
AndroidUtilCode,33625,2016-07-30T18:18:32Z,324,219,117,Java,1280
easyexcel,33597,2018-02-06T03:14:08Z,570,455,14,Java,3131
JavaScript,33556,2017-07-13T06:12:33Z,127,1535,0,JavaScript,200
zxing,33549,2011-10-12T14:07:27Z,4,535,31,Java,1322
AFNetworking,33540,2011-05-31T21:28:44Z,102,1495,40,Objective-C,0
ShareX,33524,2013-10-08T23:32:10Z,530,1113,83,C#,6380
aseprite,33514,2014-08-19T23:44:50Z,1839,0,118,C++,0
mattermost,33486,2015-06-15T06:50:02Z,956,0,847,TypeScript,0
awesome-docker,33477,2014-09-21T17:01:48Z,7,0,1,,0
stats,33402,2019-05-29T19:24:56Z,26,0,303,Swift,0
How-To-Ask-Questions-The-Smart-Way,33401,2015-03-28T16:52:40Z,9,0,0,JavaScript,0
nps,33337,2018-11-04T13:22:51Z,522,0,59,Go,0
gpt-pilot,33322,2023-08-16T11:56:07Z,244,0,0,Python,0
XX-Net,33300,2015-01-15T09:35:51Z,7920,0,390,Python,0
jax,33296,2018-10-25T21:25:02Z,2269,0,126,Python,0
Fabric,33224,2024-01-03T23:18:31Z,80,0,255,JavaScript,0
